pow,RSSI,ambientHumidity,ambientTemperature,dewtemp,Photosynthesis,pressure,soilCond,soilHumi,soilTemp,TotalRadiation,windDirection,windScale,windSpeed,rainfall_12h_future,start_time
0.10513239607871938,0.9134212915104228,0.7019805009056402,0.6151531465173321,0.8110631534867898,0.0402745809789242,0.4205260594532554,0.0018030098301064377,0.001658985147165338,0.6143397039763832,0.03247076211896878,0.3561910456006234,0.14007258513802393,0.0766709953902525,0.0,2024-10-09 15:02:30
0.1035642637344889,0.9147464580435342,0.697326511673752,0.6136101001500427,0.8072639410015291,0.03639551403782381,0.42192330307069525,0.0017904013697560433,0.0016473838524299147,0.6106937038426656,0.029751982853364767,0.3579855693501054,0.1450741852612193,0.08116055241361941,0.0,2024-10-09 15:12:30
0.10309334316162122,0.916403039443017,0.695801267568659,0.6120702931961615,0.8050371565143455,0.032475638766969725,0.42284313038155474,0.0017904013697560433,0.0016473838524299147,0.607128810664307,0.02653760038632812,0.35507243753536266,0.14901918503586647,0.0842787620899529,0.0,2024-10-09 15:17:30
0.10262242258875354,0.9179896244453386,0.6943557679952024,0.6104798406380079,0.8028050299389804,0.028620023746457515,0.4237737069264256,0.0017904013697560433,0.0016473838524299147,0.603626963998876,0.023416061128721865,0.351086046630978,0.15003724949383995,0.08542849303206472,0.0,2024-10-09 15:22:30
0.09790258844436295,0.9197140958689202,0.6902011032141564,0.6086526047172091,0.7990636692037425,0.025034117698539023,0.4252210411663313,0.001777968026910515,0.0016359436867880417,0.5994753227024876,0.020480518464362298,0.3503913030238436,0.15253380513079742,0.08783664949241285,0.0,2024-10-09 15:32:30
0.09205695980545947,0.9208726010534175,0.6887839279644364,0.607119741241016,0.7969040363090746,0.022335127418322637,0.42620081571828194,0.001777968026910515,0.0016359436867880417,0.5962034694550601,0.018282706408690372,0.34924936812935836,0.15506129154555792,0.08922058488569558,0.0,2024-10-09 15:37:30
0.08515911801154985,0.9219152557194653,0.6874052420737359,0.6056016317286192,0.794807633164219,0.01980706749150818,0.42717372803601705,0.001777968026910515,0.0016359436867880417,0.5929938129982779,0.016234405377213823,0.34704162733335364,0.15645140907367622,0.08999039894820908,0.0,2024-10-09 15:42:30
0.07861201393597916,0.9228420598670638,0.6860949817101809,0.6041223226955987,0.7928060746440819,0.017404470444090735,0.4281283410625001,0.001777968026910515,0.0016359436867880417,0.589911708017235,0.014272820739770577,0.3473461433052163,0.15594591179072412,0.08992120217854493,0.0,2024-10-09 15:47:30
0.07215843991863125,0.9239542248441813,0.6846134731927513,0.6025106355564713,0.7906179811930925,0.01510443160871444,0.4291096405553958,0.001777968026910515,0.0016359436867880417,0.5868742254577368,0.012410910118457583,0.34749840129114773,0.15657778339441425,0.09069966583726649,0.0,2024-10-09 15:52:30
0.06607898613416907,0.9240700753626311,0.6831014754991633,0.6008090389031594,0.7883534672054817,0.012998569654802734,0.430113051691869,0.001777968026910515,0.0016359436867880417,0.5838453927830304,0.010706484442630376,0.3477267882700448,0.15708328067736635,0.09104564968558715,0.0,2024-10-09 15:57:30
0.06112189304837834,0.9243017763995304,0.6817258495862395,0.5991108658215571,0.7861513943880372,0.011115600881727134,0.431119512710211,0.001777968026910515,0.0016359436867880417,0.5808128530148418,0.009165524153256761,0.35389323670026485,0.15859977252622268,0.09221334517366947,0.0,2024-10-09 16:02:30
0.05766128089414835,0.9251359001323686,0.68013023707823,0.5975604769187551,0.7839459521848318,0.009545776516083864,0.4321198739648082,0.001777968026910515,0.0016359436867880417,0.5778065375005457,0.007869761943563572,0.35754742836261755,0.1611272589409832,0.09318209994896738,0.0,2024-10-09 16:07:30
0.05462155400192081,0.9251359001323686,0.6785047252692963,0.5961070892143934,0.7818222355085945,0.00826892677617149,0.43314158439252637,0.001777968026910515,0.0016359436867880417,0.5752027848784635,0.006815709222986221,0.3635616188069064,0.16314924807279158,0.09418545310909733,0.0,2024-10-09 16:12:30
0.05181565225524487,0.9251359001323686,0.6766500837991505,0.5947452412964588,0.7796525661457023,0.007176339957226387,0.4341579575269563,0.001777968026910515,0.0016359436867880417,0.5727390780101531,0.005900701754910562,0.368890648314504,0.16567673448755213,0.09552614052134,0.0,2024-10-09 16:17:30
0.049009750508570704,0.9258310032430673,0.6746444342690966,0.593431567923296,0.7774576622341323,0.0061080252484643615,0.4351697558385794,0.0,0.0,0.5697882315983313,0.005011111160948112,0.3766558055970035,0.16719322633640843,0.096045116293821,0.0,2024-10-09 16:22:30
0.04620384876189654,0.9262017249021063,0.6723240125672918,0.5921394141437366,0.7751400983430509,0.004932024417059123,0.4362006159119147,0.0,0.0,0.5670191700668952,0.004038292763516908,0.3839641889217089,0.16870971818526476,0.09684087914495858,0.0,2024-10-09 16:27:30
0.04330441695700138,0.9262017249021065,0.6700705417045476,0.5908873650613475,0.7728965892496522,0.0036657723590576684,0.43724138810134505,0.0,0.0,0.5643308407935156,0.002995702554794533,0.3911964432534486,0.17060533299633515,0.0976625907847202,0.0,2024-10-09 16:32:30
0.04049851521032721,0.9262017249021063,0.667888666948332,0.5895808648860525,0.7706465564519078,0.0026897600411326804,0.43829664722967365,0.0,0.0,0.5616901545363702,0.002183359323333031,0.39089192728158584,0.17111083027928725,0.09804317301787292,0.0,2024-10-09 16:37:30
0.03806673369654412,0.9262017249021063,0.6656874000437981,0.5882661318359319,0.76840813728168,0.0020662061119224606,0.4393458065942468,0.0,0.0,0.5590581181640165,0.0016610674788105403,0.39348031304241904,0.17300644509035765,0.0987783886955544,0.0,2024-10-09 16:42:30
0.03619613253209408,0.9262017249021063,0.6635052672171678,0.5869906068332481,0.7662214059228067,0.0016337523178155922,0.44037666666758213,0.0,0.0,0.5564566996378306,0.0012897817687253818,0.39469837692987,0.17351194237330975,0.09943575800736368,0.0,2024-10-09 16:47:30
0.03432553136764405,0.9260163640725868,0.6613613656791418,0.5857476872754181,0.7640953951966898,0.0013069334821111129,0.4413983770952967,0.0,0.0,0.5538941369433285,0.0010146814842058982,0.39774353664849715,0.17502843422216607,0.10002393054950882,0.0,2024-10-09 16:52:30
0.03252507774686286,0.9259005135541373,0.6591248537293756,0.5845647617361194,0.76198952909608,0.0010525891162490497,0.44240712552504746,0.0,0.0,0.5514165627993992,0.0008033725700097797,0.39926611650781085,0.17692404903323644,0.10062940228407002,0.0,2024-10-09 16:57:30
0.03112212687352489,0.9259005135541373,0.6567025679480967,0.5834437050284308,0.7598541987923262,0.0008355075674286058,0.4434135865433966,0.0,0.0,0.5490558307500384,0.0006189756401688134,0.4041383720576144,0.17894603816504484,0.1013213699807114,0.0,2024-10-09 17:02:30
0.029719176000188696,0.9259005135541373,0.6540464703709356,0.5823641387493188,0.7576806582202619,0.0006454330144456661,0.4444276722664213,0.0,0.0,0.5468119407952456,0.00046149069468302795,0.40566095191692797,0.17894603816504484,0.10136461796175145,0.0,2024-10-09 17:07:30
0.028316225126854278,0.9259005135541373,0.6513194771640863,0.5813158736972664,0.7555104870339585,0.00047176777538931097,0.4454493826941395,0.0,0.0,0.5446552361871637,0.00031995359177808014,0.409010627607418,0.179957032730949,0.10160680665557592,0.0,2024-10-09 17:12:30
0.02691327425351453,0.9259005135541373,0.648474803848051,0.5803031485801049,0.7533271967499049,0.00031793045732757914,0.44644440665545915,0.0,0.0,0.5425368382117309,0.00019785292201853516,0.4036054691068546,0.18248451914570957,0.10305993881852281,0.0,2024-10-09 17:17:30
0.02579091355484664,0.9259005135541373,0.6455583132222745,0.5793055034811883,0.75114512517985,0.00023041411638579393,0.44739596980007335,0.0,0.0,0.5404625134588088,0.00012808111072736453,0.39972289046560494,0.1831163907493997,0.10340592266684348,0.0,2024-10-09 17:22:30
0.024855612972620733,0.9258078331393772,0.6428041120202562,0.5782547115071599,0.7489898653177655,0.00017571640329717812,0.4483231338897049,0.0,0.0,0.5383601795551322,9.07033546785175e-05,0.4004841803952617,0.18513837988120815,0.10408059117106883,0.0,2024-10-09 17:27:30
0.023920312390396603,0.9258078331393772,0.6402652890130576,0.5771281933874582,0.7468566856857741,0.0001169163617269161,0.4492807967980603,0.0,0.0,0.5361452598494041,4.6846787581202876e-05,0.3983525685922227,0.18463288259825605,0.10394219763174053,0.0,2024-10-09 17:32:30
0.022985011808172473,0.9258078331393772,0.637697783322605,0.5759735530715702,0.7446630721772614,7.452563408323893e-05,0.4502598088795473,0.0,0.0,0.5338391731039658,2.093154338734688e-05,0.39766740765553155,0.18475925691899409,0.10403734319002872,0.0,2024-10-09 17:37:30
